Vin,Vout,PSRR,Iload|max,Iload|min,Cload,Iquiescent,Transient Duration,LDO Type,Wpass,Wdiff,Wload,gm_id,fp1_sim,phase_margin,loopgain,Iq_sim,Power,l1,l2,STATUS,RETRIES_USED
1.593679431,1.193679431,67.3398752,43.75852706,3.206890381,1.344053964,27.65017897,2,External,1187584.805,130.0762278,375.2060983,21.65306122,158.4893192,52.04506605,68.53944827,123,196.02257,0.36,0.18,OK,2
1.278514694,1.078514694,65.99832171,21.9617429,3.610984431,1.267095627,18.94972535,1,External,,,,,,,,,,,,FAILED,5
2.95670894,1.15670894,49.25298637,47.49843765,2.269736639,0.004657531,39.1591055,1,Internal,,,,,,,,,,,,FAILED,5
1.289972232,1.089972232,54.1577251,7.520559368,1.72574174,2.956903649,47.92820955,1,External,3078.610092,15.58198546,38.08355902,15.87755102,281.8382931,68.32088994,54.54665074,23.8,30.70133913,0.9,0.54,OK,0
2.945233069,1.145233069,55.18846867,41.07077878,3.36117977,1.41351184,66.17340171,1,External,441.3876258,0.17646003,0.355582747,2.390022676,223.8721139,82.1245346,57.65269247,32.3,95.13102811,0.18,0.18,OK,0
1.465614154,1.065614154,47.2213604,14.87797363,9.770925387,0.008017829,20.28141333,1,Internal,1250.307457,0.279974374,0.852199465,8.469387755,4466.835922,55.41723082,50.45352213,10.1,14.80270296,0.18,0.18,OK,0
2.995610194,1.195610194,45.99710512,24.1346077,1.202223775,0.003418096,58.74707932,0.5,Internal,,,,,,,,,,,,FAILED,5
1.377366306,0.977366306,62.90108336,45.06187378,1.529104845,4.512804276,72.20996718,0.5,External,,,,,,,,,,,,FAILED,5
1.346775163,1.146775163,66.30108857,52.31862158,1.2687016,2.085715631,54.77184046,2,External,,,,,,,,,,,,FAILED,5
1.103298749,0.903298749,55.27367605,30.31734737,3.928738314,1.328580237,66.9788257,0.5,External,,,,,,,,,,,,FAILED,5
1.271988313,1.071988313,58.3754105,41.39816018,3.075670821,0.330133237,24.96550319,2,External,226859.0272,30.05462302,68.40460714,20.7755102,630.9573445,47.9909131,60.06939505,37.2,47.31796526,0.36,0.18,OK,1
2.7248396,0.9248396,54.90698219,41.98308333,2.154774947,1.842796311,74.71413147,2,External,1464.637169,0.484374289,1.30325223,5.37414966,199.5262315,58.21579823,64.83452108,35.4,96.45932185,0.18,0.18,OK,0
1.469921392,1.069921392,37.93298746,47.93391214,2.215011497,0.005353794,34.29201002,2,Internal,2590.482125,0.319724685,0.926617868,6.387755102,794.3282347,70.39589066,56.12132596,17.3,25.42964008,0.18,0.18,OK,0
2.748604163,0.948604163,46.92815699,47.98563407,2.392049268,0.006609993,52.68135778,0.5,Internal,,,,,,,,,,,,FAILED,5
1.205462048,1.005462048,59.90982632,70.39822766,2.739309354,1.307369963,83.71920859,0.5,External,,,,,,,,,,,,FAILED,5
1.30716807,1.10716807,33.70265858,29.38554263,8.856512523,0.007590024,82.59050331,2,Internal,4731.818191,2.073503255,6.649583621,10.97959184,5011.872336,67.05969637,48.71348636,41,53.59389086,0.18,0.18,OK,0
