Freq.	V(out)
Step Information: Temp=-40  (Run: 1/3)
6.30957344480188e+005	(-2.73536441317732e+000dB,2.98224354489117e+001°)
7.07945784384132e+005	(-4.50844462128209e+000dB,2.70502559943199e+001°)
7.94328234724275e+005	(-6.31934650555299e+000dB,2.44574282240870e+001°)
8.91250938133738e+005	(-8.16304386308800e+000dB,2.20516529257343e+001°)
9.99999999999991e+005	(-1.00347514606778e+001dB,1.98346354807454e+001°)
1.12201845430195e+006	(-1.19300746930686e+001dB,1.78032549883602e+001°)
1.25892541179416e+006	(-1.38450921041914e+001dB,1.59507552992494e+001°)
1.41253754462274e+006	(-1.57763843160050e+001dB,1.42678373654339e+001°)
1.58489319246110e+006	(-1.77210246243575e+001dB,1.27435883322139e+001°)
1.77827941003891e+006	(-1.96765451848043e+001dB,1.13662258489965e+001°)
1.99526231496886e+006	(-2.16408899440511e+001dB,1.01236640885695e+001°)
2.23872113856832e+006	(-2.36123624086039e+001dB,9.00392309227814e+000°)
2.51188643150956e+006	(-2.55895736084119e+001dB,7.99540894100635e+000°)
2.81838293126443e+006	(-2.75713934586422e+001dB,7.08709239792633e+000°)
3.16227766016835e+006	(-2.95569071693298e+001dB,6.26861078810708e+000°)
3.54813389233572e+006	(-3.15453773145551e+001dB,5.53031378313994e+000°)
3.98107170553494e+006	(-3.35362115305041e+001dB,4.86326951402891e+000°)
4.46683592150959e+006	(-3.55289354509386e+001dB,4.25924358766665e+000°)
5.01187233627268e+006	(-3.75231703157142e+001dB,3.71066034813517e+000°)
5.62341325190344e+006	(-3.95186146332372e+001dB,3.21055313605099e+000°)
6.30957344480187e+006	(-4.15150292923727e+001dB,2.75250829855271e+000°)
7.07945784384131e+006	(-4.35122255709833e+001dB,2.33060619550755e+000°)
7.94328234724274e+006	(-4.55100555566252e+001dB,1.93936133527601e+000°)
8.91250938133737e+006	(-4.75084045678353e+001dB,1.57366296640587e+000°)
9.99999999999990e+006	(-4.95071852352275e+001dB,1.22871687505704e+000°)
1.12201845430195e+007	(-5.15063329670632e+001dB,8.99988732228239e-001°)
1.25892541179415e+007	(-5.35058025829638e+001dB,5.83149054269599e-001°)
1.41253754462274e+007	(-5.55055659521587e+001dB,2.74019650712728e-001°)
1.58489319246110e+007	(-5.75056105199526e+001dB,-3.14786893856410e-002°)
1.77827941003890e+007	(-5.95059386491902e+001dB,-3.37377594503598e-001°)
1.99526231496886e+007	(-6.15065677437920e+001dB,-6.47711947145092e-001°)
2.23872113856832e+007	(-6.35075311604399e+001dB,-9.66570516409647e-001°)
2.51188643150955e+007	(-6.55088799536980e+001dB,-1.29814671124104e+000°)
2.81838293126442e+007	(-6.75106855407754e+001dB,-1.64678971043065e+000°)
3.16227766016834e+007	(-6.95130434162060e+001dB,-2.01705611160361e+000°)
3.54813389233572e+007	(-7.15160780952319e+001dB,-2.41376206746832e+000°)
